0.006;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.026;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.046;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.066;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.086;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.106;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.126;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.146;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.166;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.186;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.206;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.226;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.246;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.266;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
0.286;0.000;0.000;0.000;0.000;0.000;00.0;00.0;7.268;30.871;2.898;2.951;3.102;3.378;3.835;4.607;6.050;9.214;15.000;15.000;11.798;6.260;4.350;3.413;2.880;2.558;2.365;2.264;2.236;2.277;2.393;2.606;2.959;3.546;4.600;6.840;14.230;15.000;15.000;8.053;5.623;4.292;3.733;3.315;3.066;2.934;0
